subscription_id,user_id,plan_type,start_date,end_date,payment_amount
1,1,Premium,2024-01-01,2025-01-01,999.00
2,2,Free,2024-01-01,NULL,0.00
3,3,Premium,2024-02-01,2025-02-01,999.00
4,4,Family,2024-03-01,2025-03-01,1499.00
5,5,Premium,2024-01-15,2025-01-15,999.00
6,6,Free,2024-02-10,NULL,0.00
7,7,Student,2024-03-12,2025-03-12,499.00
8,8,Premium,2024-04-01,2025-04-01,999.00
9,9,Family,2024-05-01,2025-05-01,1499.00
10,10,Free,2024-06-01,NULL,0.00
11,11,Premium,2024-01-10,2025-01-10,999.00
12,12,Student,2024-02-11,2025-02-11,499.00
13,13,Premium,2024-03-15,2025-03-15,999.00
14,14,Free,2024-04-20,NULL,0.00
15,15,Family,2024-05-25,2025-05-25,1499.00
16,16,Premium,2024-06-01,2025-06-01,999.00
17,17,Student,2024-07-01,2025-07-01,499.00
18,18,Free,2024-08-01,NULL,0.00
19,19,Premium,2024-09-01,2025-09-01,999.00
20,20,Family,2024-10-01,2025-10-01,1499.00
21,21,Premium,2024-01-01,2025-01-01,999.00
22,22,Free,2024-02-01,NULL,0.00
23,23,Student,2024-03-01,2025-03-01,499.00
24,24,Premium,2024-04-01,2025-04-01,999.00
25,25,Family,2024-05-01,2025-05-01,1499.00
26,26,Premium,2024-06-01,2025-06-01,999.00
27,27,Free,2024-07-01,NULL,0.00
28,28,Student,2024-08-01,2025-08-01,499.00
29,29,Premium,2024-09-01,2025-09-01,999.00
30,30,Family,2024-10-01,2025-10-01,1499.00
